FechaCreacion,TipoOrigen,Importe1,TipoSaldo,Numero,CuentaDesc,RazonSocial,Detalle
2024-06-24 16:10:22,8,1410618.0,1,21101001,PROVEEDORES A PAGAR PESOS,Incol Corp S.A.,Factura de Compra (A) 00003-00000723
2024-06-24 16:10:22,8,244818.0,0,11401001,IVA CREDITO FISCAL,Incol Corp S.A.,Factura de Compra (A) 00003-00000723
2024-06-24 16:10:22,8,1165800.0,0,42201031,PAT  MANTENIMIENTO DE MAQUINARIAS,Incol Corp S.A.,Factura de Compra (A) 00003-00000723
2025-05-08 11:42:51,8,2174950.8,1,21101001,PROVEEDORES A PAGAR PESOS,Incol Corp S.A.,Factura de Compra (A) 00003-00000789
2025-05-08 11:42:51,8,1797480.0,0,42201031,PAT  MANTENIMIENTO DE MAQUINARIAS,Incol Corp S.A.,Factura de Compra (A) 00003-00000789
2025-05-08 11:42:51,8,377470.8,0,11401001,IVA CREDITO FISCAL,Incol Corp S.A.,Factura de Compra (A) 00003-00000789
2026-02-04 16:46:28,8,793155.0,1,21101001,PROVEEDORES A PAGAR PESOS,Incol Corp S.A.,Factura de Compra (A) 00003-00000847
2026-02-04 16:46:28,8,655500.0,0,42201031,PAT  MANTENIMIENTO DE MAQUINARIAS,Incol Corp S.A.,Factura de Compra (A) 00003-00000847
2026-02-04 16:46:28,8,137655.0,0,11401001,IVA CREDITO FISCAL,Incol Corp S.A.,Factura de Compra (A) 00003-00000847
2026-03-17 15:14:31,8,21320512.5,0,11401001,IVA CREDITO FISCAL,Incol Corp S.A.,Factura de Compra (A) 00004-00000265
2026-03-17 15:14:31,8,224373012.5,1,21101001,PROVEEDORES A PAGAR PESOS,Incol Corp S.A.,Factura de Compra (A) 00004-00000265
2026-03-17 15:14:31,8,203052500.0,0,12103003,VALOR ORIGEN MAQUINARIAS SALTA,Incol Corp S.A.,Factura de Compra (A) 00004-00000265
2026-04-21 13:04:26,8,158001187.5,1,21101001,PROVEEDORES A PAGAR PESOS,Incol Corp S.A.,Factura de Compra (A) 00004-00000270
2026-04-21 13:04:26,8,142987500.0,0,12103003,VALOR ORIGEN MAQUINARIAS SALTA,Incol Corp S.A.,Factura de Compra (A) 00004-00000270
2026-04-21 13:04:26,8,15013687.5,0,11401001,IVA CREDITO FISCAL,Incol Corp S.A.,Factura de Compra (A) 00004-00000270
2026-06-01 12:28:56,8,212826900.0,1,21101001,PROVEEDORES A PAGAR PESOS,Incol Corp S.A.,Factura de Compra (A) 00003-00000865
2026-06-01 12:28:56,8,175890000.0,0,12103003,VALOR ORIGEN MAQUINARIAS SALTA,Incol Corp S.A.,Factura de Compra (A) 00003-00000865
2026-06-01 12:28:56,8,36936900.0,0,11401001,IVA CREDITO FISCAL,Incol Corp S.A.,Factura de Compra (A) 00003-00000865
2026-06-01 13:31:49,8,22926475.0,1,21101001,PROVEEDORES A PAGAR PESOS,Incol Corp S.A.,Factura de Compra (A) 00003-00000866
2026-06-01 13:31:49,8,18947500.0,0,12103003,VALOR ORIGEN MAQUINARIAS SALTA,Incol Corp S.A.,Factura de Compra (A) 00003-00000866
2026-06-01 13:31:49,8,3978975.0,0,11401001,IVA CREDITO FISCAL,Incol Corp S.A.,Factura de Compra (A) 00003-00000866
