MesContable,MesCreacion,Numero,Cuenta,TipoSaldo,TipoOrigen,Cant,Total_Importe1,Importe_cierre,Importe_operativo
b'2024-11',b'2025-03',21301001,SUELDOS Y JORNALES A PAGAR BS AS,1,0,1,52955037.0,52955037.0,0.0
b'2024-12',b'2025-03',21301001,SUELDOS Y JORNALES A PAGAR BS AS,1,0,1,48084268.0,0.0,48084268.0
b'2025-04',b'2025-04',21301001,SUELDOS Y JORNALES A PAGAR BS AS,0,2,8,33044773.0,0.0,33044773.0
b'2025-05',b'2025-05',21301001,SUELDOS Y JORNALES A PAGAR BS AS,0,2,6,41399659.0,0.0,41399659.0
b'2024-12',b'2025-05',21301001,SUELDOS Y JORNALES A PAGAR BS AS,0,11,1,31192828.0,31192828.0,0.0
b'2025-01',b'2025-05',21301001,SUELDOS Y JORNALES A PAGAR BS AS,1,0,1,31192828.0,31192828.0,0.0
b'2025-06',b'2025-06',21301001,SUELDOS Y JORNALES A PAGAR BS AS,0,2,9,63921479.0,0.0,63921479.0
b'2025-03',b'2025-06',21301001,SUELDOS Y JORNALES A PAGAR BS AS,1,0,1,33231644.5,0.0,33231644.5
b'2025-04',b'2025-06',21301001,SUELDOS Y JORNALES A PAGAR BS AS,1,0,1,41199679.0,0.0,41199679.0
b'2025-01',b'2025-06',21301001,SUELDOS Y JORNALES A PAGAR BS AS,1,0,1,35913674.0,35913674.0,0.0
b'2025-02',b'2025-06',21301001,SUELDOS Y JORNALES A PAGAR BS AS,1,0,1,36787381.0,36787381.0,0.0
b'2025-06',b'2025-07',21301001,SUELDOS Y JORNALES A PAGAR BS AS,0,0,1,75057813.9,0.0,75057813.9
b'2025-06',b'2025-07',21301001,SUELDOS Y JORNALES A PAGAR BS AS,1,0,1,143942850.0,0.0,143942850.0
b'2025-05',b'2025-07',21301001,SUELDOS Y JORNALES A PAGAR BS AS,1,0,1,43973918.0,0.0,43973918.0
b'2025-08',b'2025-08',21301001,SUELDOS Y JORNALES A PAGAR BS AS,0,2,7,51701411.1,0.0,51701411.1
b'2025-07',b'2025-08',21301001,SUELDOS Y JORNALES A PAGAR BS AS,0,2,6,48842808.0,0.0,48842808.0
b'2025-09',b'2025-09',21301001,SUELDOS Y JORNALES A PAGAR BS AS,0,2,5,40387251.0,0.0,40387251.0
b'2025-07',b'2025-09',21301001,SUELDOS Y JORNALES A PAGAR BS AS,1,0,1,51356744.0,51356744.0,0.0
b'2025-10',b'2025-10',21301001,SUELDOS Y JORNALES A PAGAR BS AS,0,2,3,43182519.0,0.0,43182519.0
b'2025-11',b'2025-11',21301001,SUELDOS Y JORNALES A PAGAR BS AS,0,2,7,47893013.0,0.0,47893013.0
b'2025-11',b'2025-12',21301001,SUELDOS Y JORNALES A PAGAR BS AS,0,2,1,100000.0,0.0,100000.0
b'2025-12',b'2025-12',21301001,SUELDOS Y JORNALES A PAGAR BS AS,0,2,4,79658474.68,0.0,79658474.68
b'2025-11',b'2025-12',21301001,SUELDOS Y JORNALES A PAGAR BS AS,1,2,1,100000.0,0.0,100000.0
b'2025-10',b'2026-01',21301001,SUELDOS Y JORNALES A PAGAR BS AS,0,2,1,250000.0,0.0,250000.0
b'2025-11',b'2026-01',21301001,SUELDOS Y JORNALES A PAGAR BS AS,0,0,1,61264.0,61264.0,0.0
b'2026-01',b'2026-01',21301001,SUELDOS Y JORNALES A PAGAR BS AS,0,2,5,58029191.44,0.0,58029191.44
b'2025-08',b'2026-01',21301001,SUELDOS Y JORNALES A PAGAR BS AS,1,0,1,40870255.0,40870255.0,0.0
b'2025-09',b'2026-01',21301001,SUELDOS Y JORNALES A PAGAR BS AS,1,0,1,43632519.0,43632519.0,0.0
b'2025-10',b'2026-01',21301001,SUELDOS Y JORNALES A PAGAR BS AS,1,0,1,47702563.0,47702563.0,0.0
b'2025-11',b'2026-01',21301001,SUELDOS Y JORNALES A PAGAR BS AS,1,0,1,67361426.0,67361426.0,0.0
b'2026-02',b'2026-02',21301001,SUELDOS Y JORNALES A PAGAR BS AS,0,2,3,46863174.0,0.0,46863174.0
