FechaCreacion,TipoOrigen,Importe1,TipoSaldo,Numero,CuentaDesc,RazonSocial,Detalle
2026-06-05 09:53:11,8,305785.12,0,42201019,PAT GASTOS DE RODADOS,ISUZU Vehículos Comerciales de Argentina S.A.,Factura de Compra (A) 00007-00001606
2026-06-05 09:53:11,8,370000.0,1,21101001,PROVEEDORES A PAGAR PESOS,ISUZU Vehículos Comerciales de Argentina S.A.,Factura de Compra (A) 00007-00001606
2026-06-05 09:53:11,8,64214.88,0,11401001,IVA CREDITO FISCAL,ISUZU Vehículos Comerciales de Argentina S.A.,Factura de Compra (A) 00007-00001606
2026-06-05 09:54:27,8,370000.0,1,21101001,PROVEEDORES A PAGAR PESOS,ISUZU Vehículos Comerciales de Argentina S.A.,Factura de Compra (A) 00007-00001607
2026-06-05 09:54:27,8,305785.12,0,42201019,PAT GASTOS DE RODADOS,ISUZU Vehículos Comerciales de Argentina S.A.,Factura de Compra (A) 00007-00001607
2026-06-05 09:54:27,8,64214.88,0,11401001,IVA CREDITO FISCAL,ISUZU Vehículos Comerciales de Argentina S.A.,Factura de Compra (A) 00007-00001607
2026-06-05 10:26:44,8,370000.0,1,21101001,PROVEEDORES A PAGAR PESOS,ISUZU Vehículos Comerciales de Argentina S.A.,Factura de Compra (A) 00007-00001612
2026-06-05 10:26:44,8,334841.63,0,42201019,PAT GASTOS DE RODADOS,ISUZU Vehículos Comerciales de Argentina S.A.,Factura de Compra (A) 00007-00001612
2026-06-05 10:26:44,8,35158.37,0,11401001,IVA CREDITO FISCAL,ISUZU Vehículos Comerciales de Argentina S.A.,Factura de Compra (A) 00007-00001612
2026-06-05 10:28:30,8,370000.0,1,21101001,PROVEEDORES A PAGAR PESOS,ISUZU Vehículos Comerciales de Argentina S.A.,Factura de Compra (A) 00007-00001608
2026-06-05 10:28:30,8,334841.63,0,42201019,PAT GASTOS DE RODADOS,ISUZU Vehículos Comerciales de Argentina S.A.,Factura de Compra (A) 00007-00001608
2026-06-05 10:28:30,8,35158.37,0,11401001,IVA CREDITO FISCAL,ISUZU Vehículos Comerciales de Argentina S.A.,Factura de Compra (A) 00007-00001608
2026-06-05 10:30:07,8,370000.0,1,21101001,PROVEEDORES A PAGAR PESOS,ISUZU Vehículos Comerciales de Argentina S.A.,Factura de Compra (A) 00007-00001609
2026-06-05 10:30:07,8,334841.63,0,42201019,PAT GASTOS DE RODADOS,ISUZU Vehículos Comerciales de Argentina S.A.,Factura de Compra (A) 00007-00001609
2026-06-05 10:30:07,8,35158.37,0,11401001,IVA CREDITO FISCAL,ISUZU Vehículos Comerciales de Argentina S.A.,Factura de Compra (A) 00007-00001609
2026-06-05 10:32:03,8,35158.37,0,11401001,IVA CREDITO FISCAL,ISUZU Vehículos Comerciales de Argentina S.A.,Factura de Compra (A) 00007-00001610
2026-06-05 10:32:03,8,370000.0,1,21101001,PROVEEDORES A PAGAR PESOS,ISUZU Vehículos Comerciales de Argentina S.A.,Factura de Compra (A) 00007-00001610
2026-06-05 10:32:03,8,334841.63,0,42201019,PAT GASTOS DE RODADOS,ISUZU Vehículos Comerciales de Argentina S.A.,Factura de Compra (A) 00007-00001610
2026-06-05 10:34:39,8,370000.0,1,21101001,PROVEEDORES A PAGAR PESOS,ISUZU Vehículos Comerciales de Argentina S.A.,Factura de Compra (A) 00007-00001611
2026-06-05 10:34:39,8,35158.37,0,11401001,IVA CREDITO FISCAL,ISUZU Vehículos Comerciales de Argentina S.A.,Factura de Compra (A) 00007-00001611
2026-06-05 10:34:39,8,334841.63,0,42201019,PAT GASTOS DE RODADOS,ISUZU Vehículos Comerciales de Argentina S.A.,Factura de Compra (A) 00007-00001611
2026-06-05 14:03:13,8,370000.0,0,21101001,PROVEEDORES A PAGAR PESOS,ISUZU Vehículos Comerciales de Argentina S.A.,Nota de Crédito de Compra (A) 00007-00000166
2026-06-05 14:03:13,8,305785.12,1,42201019,PAT GASTOS DE RODADOS,ISUZU Vehículos Comerciales de Argentina S.A.,Nota de Crédito de Compra (A) 00007-00000166
2026-06-05 14:03:13,8,64214.88,1,11401001,IVA CREDITO FISCAL,ISUZU Vehículos Comerciales de Argentina S.A.,Nota de Crédito de Compra (A) 00007-00000166
2026-06-05 14:05:15,8,370000.0,0,21101001,PROVEEDORES A PAGAR PESOS,ISUZU Vehículos Comerciales de Argentina S.A.,Nota de Crédito de Compra (A) 00007-00000167
2026-06-05 14:05:15,8,305785.12,1,42201019,PAT GASTOS DE RODADOS,ISUZU Vehículos Comerciales de Argentina S.A.,Nota de Crédito de Compra (A) 00007-00000167
2026-06-05 14:05:15,8,64214.88,1,11401001,IVA CREDITO FISCAL,ISUZU Vehículos Comerciales de Argentina S.A.,Nota de Crédito de Compra (A) 00007-00000167
2026-06-05 14:07:09,8,370000.0,0,21101001,PROVEEDORES A PAGAR PESOS,ISUZU Vehículos Comerciales de Argentina S.A.,Nota de Crédito de Compra (A) 00007-00000168
2026-06-05 14:07:09,8,305785.12,1,42201019,PAT GASTOS DE RODADOS,ISUZU Vehículos Comerciales de Argentina S.A.,Nota de Crédito de Compra (A) 00007-00000168
2026-06-05 14:07:09,8,64214.88,1,11401001,IVA CREDITO FISCAL,ISUZU Vehículos Comerciales de Argentina S.A.,Nota de Crédito de Compra (A) 00007-00000168
2026-06-05 16:03:15,8,370000.0,0,21101001,PROVEEDORES A PAGAR PESOS,ISUZU Vehículos Comerciales de Argentina S.A.,Nota de Crédito de Compra (A) 00007-00000169
2026-06-05 16:03:15,8,305785.12,1,42201019,PAT GASTOS DE RODADOS,ISUZU Vehículos Comerciales de Argentina S.A.,Nota de Crédito de Compra (A) 00007-00000169
2026-06-05 16:03:15,8,64214.88,1,11401001,IVA CREDITO FISCAL,ISUZU Vehículos Comerciales de Argentina S.A.,Nota de Crédito de Compra (A) 00007-00000169
2026-06-05 16:06:01,8,370000.0,0,21101001,PROVEEDORES A PAGAR PESOS,ISUZU Vehículos Comerciales de Argentina S.A.,Nota de Crédito de Compra (A) 00007-00000170
2026-06-05 16:06:01,8,305785.12,1,42201019,PAT GASTOS DE RODADOS,ISUZU Vehículos Comerciales de Argentina S.A.,Nota de Crédito de Compra (A) 00007-00000170
2026-06-05 16:06:01,8,64214.88,1,11401001,IVA CREDITO FISCAL,ISUZU Vehículos Comerciales de Argentina S.A.,Nota de Crédito de Compra (A) 00007-00000170
