FechaCreacion,TipoSaldo,Importe1,Numero,Concepto,Detalle,TipoOrigen
2025-08-05 10:27:23,0,100000.0,21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,Comprobante - Sueldos a pagar Patogenicos  - 47722,2
2025-08-05 11:29:29,0,8567916.0,21301001,SUELDOS Y JORNALES A PAGAR BS AS,Comprobante - Sueldos a pagar BsAs  - 47725,2
2025-08-06 10:47:22,0,30000.0,21301001,SUELDOS Y JORNALES A PAGAR BS AS,Comprobante - Sueldos a pagar BsAs  - 47770,2
2025-08-07 10:15:13,0,32917401.0,21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,Comprobante - Sueldos a pagar Patogenicos  - 47774,2
2025-08-07 10:16:33,0,1150582.0,21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,Comprobante - Sueldos a pagar Patogenicos  - 47775,2
2025-08-07 10:30:06,0,6228547.0,21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,Comprobante - Sueldos a pagar Patogenicos  - 47776,2
2025-08-07 12:38:18,0,4666532.0,21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,Comprobante - Sueldos a pagar Patogenicos  - 47777,2
2025-08-07 12:40:30,0,17469380.0,21301001,SUELDOS Y JORNALES A PAGAR BS AS,Comprobante - Sueldos a pagar BsAs  - 47778,2
2025-08-07 12:45:00,0,4449057.0,21301001,SUELDOS Y JORNALES A PAGAR BS AS,Comprobante - Sueldos a pagar BsAs  - 47779,2
2025-08-07 12:46:08,0,20640391.0,21301001,SUELDOS Y JORNALES A PAGAR BS AS,Comprobante - Sueldos a pagar BsAs  - 47780,2
2025-08-25 16:39:47,0,133245.0,21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,Comprobante - Pago de Multas Vehículos Patogénicos  - 47795,2
2025-08-25 18:37:22,0,8392583.1,21301001,SUELDOS Y JORNALES A PAGAR BS AS,Comprobante - Sueldos a pagar BsAs  - 47809,2
2025-08-25 18:58:58,0,300000.0,21301001,SUELDOS Y JORNALES A PAGAR BS AS,Comprobante - Sueldos a pagar BsAs  - 47817,2
2025-08-26 09:04:13,0,150000.0,21301001,SUELDOS Y JORNALES A PAGAR BS AS,Comprobante - Sueldos a pagar BsAs  - 47820,2
2025-08-26 12:12:47,0,100000.0,21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,Comprobante - Sueldos a pagar Patogenicos  - 47843,2
2025-08-26 12:14:07,0,100000.0,21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,Comprobante - Sueldos a pagar Patogenicos  - 47844,2
2025-08-26 12:18:05,0,1200000.0,21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,Comprobante - Sueldos a pagar Patogenicos  - 47845,2
2025-08-26 12:19:24,0,100000.0,21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,Comprobante - Sueldos a pagar Patogenicos  - 47846,2
2025-08-26 12:26:09,0,300000.0,21301001,SUELDOS Y JORNALES A PAGAR BS AS,Comprobante - Sueldos a pagar BsAs  - 47849,2
