MesContable,MesCreacion,Numero,Cuenta,TipoSaldo,TipoOrigen,Cant,Total_Importe1
b'2023-12',b'2024-01',42101009,BSAS CARGAS SOCIALES,0,0,1,3957179.77
b'2024-01',b'2024-02',42101009,BSAS CARGAS SOCIALES,0,0,1,3893184.45
b'2024-02',b'2024-03',42101009,BSAS CARGAS SOCIALES,0,0,1,4110217.85
b'2024-03',b'2024-04',42101009,BSAS CARGAS SOCIALES,0,0,1,6279252.79
b'2023-12',b'2024-05',42101009,BSAS CARGAS SOCIALES,0,0,1,18460665.29
b'2023-12',b'2024-05',42101009,BSAS CARGAS SOCIALES,1,10,1,42506503.53
b'2024-04',b'2024-10',42101009,BSAS CARGAS SOCIALES,0,0,1,5236649.51
b'2024-05',b'2024-10',42101009,BSAS CARGAS SOCIALES,0,0,1,5888642.73
b'2024-06',b'2024-10',42101009,BSAS CARGAS SOCIALES,0,0,1,9778346.17
b'2024-07',b'2024-10',42101009,BSAS CARGAS SOCIALES,0,0,1,7465273.23
b'2024-09',b'2024-10',42101009,BSAS CARGAS SOCIALES,0,0,1,7090174.82
b'2024-08',b'2024-10',42101009,BSAS CARGAS SOCIALES,0,0,1,8089104.3
b'2024-10',b'2025-03',42101009,BSAS CARGAS SOCIALES,0,0,1,7930157.6
b'2024-11',b'2025-03',42101009,BSAS CARGAS SOCIALES,0,0,1,10368269.42
b'2024-12',b'2025-03',42101009,BSAS CARGAS SOCIALES,0,0,1,12117679.72
b'2024-12',b'2025-04',42101009,BSAS CARGAS SOCIALES,0,0,1,17071334.83
b'2025-04',b'2025-04',42101009,BSAS CARGAS SOCIALES,0,2,1,97407.75
b'2024-12',b'2025-05',42101009,BSAS CARGAS SOCIALES,1,10,1,105318287.42
b'2025-01',b'2025-06',42101009,BSAS CARGAS SOCIALES,0,0,1,8067993.66
b'2025-02',b'2025-06',42101009,BSAS CARGAS SOCIALES,0,0,1,7745265.19
b'2025-03',b'2025-06',42101009,BSAS CARGAS SOCIALES,0,0,1,7928957.94
b'2025-04',b'2025-06',42101009,BSAS CARGAS SOCIALES,0,0,1,10116157.5
b'2025-06',b'2025-07',42101009,BSAS CARGAS SOCIALES,0,0,1,27292765.83
b'2025-05',b'2025-07',42101009,BSAS CARGAS SOCIALES,0,0,1,12693514.15
b'2025-06',b'2025-07',42101009,BSAS CARGAS SOCIALES,1,0,1,19701.98
b'2025-07',b'2025-09',42101009,BSAS CARGAS SOCIALES,0,0,1,11449872.27
b'2025-08',b'2025-09',42101009,BSAS CARGAS SOCIALES,0,0,1,11884681.73
b'2025-11',b'2026-01',42101009,BSAS CARGAS SOCIALES,0,0,2,22126565.36
b'2025-08',b'2026-01',42101009,BSAS CARGAS SOCIALES,0,0,1,10691359.21
b'2025-09',b'2026-01',42101009,BSAS CARGAS SOCIALES,0,0,1,11577991.95
b'2025-10',b'2026-01',42101009,BSAS CARGAS SOCIALES,0,0,1,12643342.42
