Numero,Descripcion,Movs_Total,Movs_2024,Asientos_Total,Primer_Mov,Ultimo_Mov,Debe_2024,Haber_2024
11404003,IMPUESTOS A LOS DEBITOS Y CREDITOS PAGO A CUENTA,777,267,777,2017-10-11 16:23:24,2026-07-01 12:00:41,131327949.75,79522802.59
11405001,GARANTIA ALQUILER CABA,23,8,23,2017-11-08 10:53:11,2026-07-01 12:00:41,9810000.0,5310000.0
11405002,GARANTIA ALQUILER SALTA,4,0,4,2017-11-08 10:53:11,2018-11-07 12:37:42,0.0,0.0
11405003,ALQUILERES A DEVENGAR,4,0,4,2018-06-07 12:10:04,2019-06-18 08:27:20,0.0,0.0
11405006,SOCIO AGUIRRE CUENTA PARTICULAR,89,6,89,2017-11-08 10:53:11,2026-01-21 14:52:03,5376546.39,5376546.39
11405007,SOCIO BOFFELLI CUENTA PARTICULAR,28,6,28,2017-11-08 10:53:11,2026-01-21 14:52:03,4692457.56,4692457.56
11405010,SOCIOS CTA PARTICULAR,24,24,24,2024-01-22 16:19:44,2025-08-02 16:20:30,185552000.0,185552000.0
11405011,DGN ,5,5,5,2024-03-21 15:02:15,2026-07-01 12:00:41,750000.0,500000.0
11405012,SOCIO EDUARDO ELIAS JOSE,68,68,68,2025-12-17 11:21:39,2026-07-01 12:00:41,276783915.0,118532920.0
11405013,SOCIO PEDRO GABRIEL ISSA COSTA,68,68,68,2025-12-17 11:21:39,2026-07-01 12:00:41,896412427.35,257091488.0
11501001,BOLSAS,32,12,32,2017-11-08 10:53:11,2026-07-01 12:00:41,385678242.98,336003170.03
11501002,HIELO SECO,2,0,2,2017-11-08 10:53:11,2018-05-30 19:21:24,0.0,0.0
11501003,PRECINTOS,8,0,8,2017-11-08 10:53:11,2020-05-19 15:51:57,0.0,0.0
11501005,POLICITOS,8,0,8,2017-11-08 10:53:11,2020-05-19 15:51:57,0.0,0.0
11501006,OTRAS MATERIAS PRIMAS(FILM-CINTA-ETIQUETA-EMBALAJE),31,12,31,2017-11-08 10:53:11,2026-07-01 12:00:41,256202910.32,153615197.37
11501007,CAJAS,2,2,2,2025-06-12 13:27:21,2025-07-30 19:37:54,0.3,0.3
11501008,MATERIAL DE EMBALAJE,32,12,32,2017-11-08 10:53:11,2026-07-01 12:00:41,36784461.38,24199849.29
11504001,CAJAS DE CARTON,31,12,31,2017-11-08 10:53:11,2026-07-01 12:00:41,22814965.5,17440564.2
11504003,VEHICULOS,59,8,59,2018-05-30 19:21:24,2025-04-18 01:38:01,58884703.38,65661562.89
11504003,VEHICULOS Y OTROS,2,2,2,2025-02-03 12:35:15,2025-07-30 19:35:58,4941417.85,4941417.85
11504004,MATERIAL DESCATABLE HOSPITALARIO,7,0,7,2017-11-08 10:53:11,2020-05-19 15:51:57,0.0,0.0
11504005,BIDONES Y TAMBORES,32,12,31,2017-11-08 10:53:11,2026-07-01 12:00:41,17020090.12,13086042.78
12101001,VALOR ORIGEN MUEBLES Y UTILES BS AS,34,13,34,2017-11-08 10:53:11,2026-07-01 12:00:41,62663905.39,44094311.55
12101002,AMORTIZACIONES ACUMULADAS MUEBLES Y UTILES BS AS,44,18,44,2017-11-08 10:53:11,2026-07-01 12:00:41,41098002.22,59086150.41
12101003,VALOR ORIGEN MUEBLES Y UTILES SALTA,29,13,29,2017-11-08 10:53:11,2026-07-01 12:00:41,60844443.2,24376517.35
12101004,AMORTIZACIONES ACUMULADAS MUEBLES Y UTILES SALTA,29,13,29,2017-11-08 10:53:11,2026-07-01 12:00:41,24376518.25,34877235.1
12102001,VALOR ORIGEN RODADO BS AS,42,13,42,2017-11-08 10:53:11,2026-07-01 12:00:41,1365470695.36,960005571.53
12102002,AMORTIZACIONES ACUMULADAS RODADOS BS AS,47,18,47,2017-11-08 10:53:11,2026-07-01 12:00:41,746610491.59,1092730121.99
12102003,VALOR ORIGEN RODADO SALTA,60,27,60,2017-10-31 09:11:22,2026-07-01 12:00:41,3014126103.6,1804881398.51
12102004,AMORTIZACIONES ACUMULADAS RODADOS SALTA,48,19,47,2017-11-08 10:53:11,2026-07-01 12:00:41,1260892828.14,1871511502.32
12103001,VALOR ORIGEN MAQUINARIAS BS AS,32,12,32,2017-11-08 10:53:11,2026-07-01 12:00:41,23769349.7,16612956.65
12103002,AMORTIZACIONES ACUMULADAS MAQUINARIAS BS AS,33,12,33,2017-11-08 10:53:11,2026-07-01 12:00:41,16612956.39,23769349.31
12103003,VALOR ORIGEN MAQUINARIAS SALTA,47,24,47,2017-11-08 10:53:11,2026-07-01 12:00:41,1249401585.92,475438965.22
12103004,AMORTIZACIONES ACUMULADAS MAQUINARIAS SALTA,41,17,41,2017-11-08 10:53:11,2026-07-01 12:00:41,473492883.19,677705430.96
12103005,VALOR ORIGEN MAQUINARIAS BIODISEL,34,8,33,2017-10-24 12:42:55,2025-07-17 18:47:23,848913383.26,848913383.26
12104001,VALOR ORIGEN INSTALACIONES SALTA,30,14,30,2017-11-08 10:53:11,2026-07-01 12:00:41,30183635.12,21344888.1
12104002,AMORTIZACIONES ACUMULADAS INSTALACIONES BS AS,37,18,37,2017-11-08 10:53:11,2026-07-01 12:00:41,20759960.07,25171181.45
12104003,VALOR ORIGEN INSTALACIONES BS AS,30,12,30,2017-11-08 10:53:11,2026-07-01 12:00:41,14651495.95,10240274.57
12104004,AMORTIZACIONES ACUMULADAS INSTALACIONES SALTA,30,12,30,2017-11-08 10:53:11,2026-07-01 12:00:41,20518398.09,29357145.11
12104005,VALOR ORIGEN INSTALACIONES BIO,33,8,33,2017-11-08 10:53:11,2025-07-17 18:47:23,777128826.64,777128826.64
12105003,LOTE DE TERRENOS,33,14,33,2017-11-08 10:53:11,2026-07-01 12:00:41,198753870.56,171864302.14
12105004,OBRAS EN CURSO,32,11,32,2017-11-08 10:53:11,2026-07-01 11:57:14,270547262.18,270547262.18
12105004,OBRAS EN CURSO PATOGENICOS,34,34,34,2026-02-20 10:47:17,2026-07-01 15:01:51,485419466.14,136573664.88
12105005,AMORTIZACIONES ACUMULADAS OBRA EN CURSO,35,12,35,2017-11-08 10:53:11,2026-07-01 12:00:41,270547262.18,387091389.9
12105006,OBRAS S/INMUEBLES DE TERCEROS,29,12,29,2017-11-08 10:53:11,2026-07-01 12:00:41,7115229.6,4973001.05
12105007,AMORTIZACIONES ACUMULADAS OBRA S/INMUEBLES DE TERCEROS,30,12,30,2017-11-08 10:53:11,2026-07-01 12:00:41,4973001.05,7115229.6
12105008,OBRAS EN CURSO BIO SALTA,40,8,39,2017-11-08 10:53:11,2025-07-17 18:47:23,1509489993.85,1509489993.85
12107001,VALOR ORIGEN EQUIPOS DE COMPUTACION,64,16,62,2017-10-24 15:26:44,2026-07-01 12:00:41,148841315.42,104045948.88
12107002,AMORTIZACIONES ACUMULADAS EQUIPOS DE COMPUTACION,41,15,41,2017-11-08 10:53:11,2026-07-01 12:00:41,102911488.02,147706854.56
12107003,VALOR ORIGEN PROGRAMAS Y SOFTWARES,38,12,38,2017-11-08 10:53:11,2026-07-01 12:00:41,27150341.95,18976011.54
12107004,AMORTIZACIONES ACUMULADAS PROGRAMAS Y SOFTWARES,35,12,35,2018-06-01 13:18:32,2026-07-01 12:00:41,18976011.54,27150341.95
21101001,PROVEEDORES A PAGAR PESOS,52455,16227,52384,2017-10-11 16:23:24,2026-07-06 14:20:12,7775198396.06,8064181178.79
21101002,PROVEEDORES A PAGAR DOLARES,36,12,36,2017-11-08 10:53:11,2026-07-01 12:00:41,35667991.16,51051851.16
21101004,PROVEEDORES A PAGAR EN EUROS,5,0,5,2017-11-08 10:53:11,2019-06-10 15:30:32,0.0,0.0
21101005,PROV. FACT A RECIBIR,8,4,7,2018-06-07 12:04:16,2026-01-05 18:47:36,79180636.28,79180636.28
21201003,CREDITOS BANCO NACION,47,0,47,2017-11-08 10:53:11,2018-11-07 12:37:42,0.0,0.0
21201005,CREDITOS BANCO BSE,64,0,64,2017-11-08 10:53:11,2019-09-24 14:25:40,0.0,0.0
21202001,PRESTAMO SOCIO ESPAÑA,47,9,46,2017-11-08 10:53:11,2025-07-30 19:33:56,184643178.6,184643178.6
21202002,DEUDA DECRETO 3131/15 PCIA DE SALTA,22,10,22,2017-11-08 10:53:11,2024-09-17 14:09:56,9900000.0,9900000.0
21301001,SUELDOS Y JORNALES A PAGAR BS AS,982,266,982,2017-10-25 09:01:18,2026-07-06 13:02:27,1588035810.94,1248052272.94
21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,979,346,979,2017-10-25 08:43:04,2026-07-06 13:31:35,1585717228.95,1200259591.31
21301003,RETENCION Y EMBARGO JUDICIALES,635,219,635,2017-10-31 16:49:13,2026-07-01 12:00:41,85565107.31,65382908.37
21301030,SUELDOS Y JORNALES A PAGAR BIO,33,0,33,2017-11-06 12:45:31,2019-03-22 11:37:10,0.0,0.0
21302001,CONTRIBUCIONES SEGURIDAD SOCIAL,277,65,274,2017-11-01 10:11:17,2026-07-01 12:00:41,459487479.57,394252697.88
21302002,APORTES SEGURIDAD SOCIAL,266,67,265,2017-11-01 10:11:17,2026-07-01 12:00:41,378764975.5,319862317.64
21302003,CONTRIBUCIONES OBRA SOCIAL,263,67,263,2017-11-01 10:11:17,2026-07-01 12:00:41,125790697.82,103280708.19
21302004,APORTE OBRA SOCIAL,260,67,260,2017-11-01 10:11:17,2026-07-01 12:00:41,68302789.19,55032104.6
21302005,ART,261,68,261,2017-11-01 10:11:17,2026-07-01 12:00:41,196874516.64,147110359.03
21302006,SEGURO COLECTIVO DE VIDA OBLIGATORIO 931,257,67,257,2017-11-01 10:11:17,2026-07-01 12:00:41,5707984.39,5617977.09
21302007,CONTRIBUCION SOLIDARIA (CHOFERES),389,100,389,2017-11-08 10:53:11,2026-07-01 12:00:41,42900019.86,34140248.62
21302008,SEGUROS SEPELIOS ( CHOFERES),389,100,389,2017-11-08 10:53:11,2026-07-01 12:00:41,21439425.92,17062267.8
21302009,APORTE EMPRESARIO SINDICAL (CHOFERES),388,99,388,2017-11-08 10:53:11,2026-07-01 12:00:41,13369700.26,10985013.42
21302010,FEDERACION NACIONAL DE TRABAJADORES CAMIONEROS,466,168,466,2017-11-06 10:58:59,2026-07-01 12:00:41,30882639.33,23070024.21
21302011,SINDICATO CAMIONEROS SALTA,140,38,139,2017-11-08 10:53:11,2026-07-01 12:00:41,51011837.57,51064725.58
21302012,ANTIMA,73,0,73,2017-11-08 12:16:14,2019-03-22 11:37:10,0.0,0.0
21302013,PROV CARGAS SOCIALES,2,2,2,2025-09-05 19:17:45,2026-01-05 18:47:36,135577953.26,135577953.26
21401001,IVA DEBITO FISCAL,28878,9780,28878,2017-09-20 11:21:43,2026-07-06 09:42:55,2904003783.19,3542951527.16
21401002,IVA A PAGAR,313,85,303,2017-11-06 11:40:30,2026-07-02 09:16:02,2242308194.71,2001379432.15
21402001,IMPUESTOS A LAS GANANCIAS A PAGAR,45,14,44,2017-11-21 17:30:12,2026-07-01 12:00:41,1108518528.35,1669454986.93
21402002,RETENCION GANANCIA A PAGAR,3064,1489,3061,2017-10-17 08:51:42,2026-07-03 16:01:16,362594221.69,354598088.94
21402003,PROV.DE IMPUESTOS A LAS GANACIAS,14,2,14,2017-11-08 10:53:11,2026-01-05 18:47:36,369459522.02,369459522.02
21402004,RETENCIONES SUSS A PAGAR ,12,0,12,2017-11-22 12:38:20,2019-03-22 11:37:10,0.0,0.0
21402005,RETENCIONES IVA A PAGAR,22,10,22,2020-03-11 14:37:20,2025-06-23 17:27:19,103839.12,103839.12
21403001,IIBB A PAGAR CABA,135,36,135,2017-11-03 10:07:09,2026-07-01 12:00:41,92480021.95,128600018.09
21403002,IIBB A PAGAR SALTA,93,30,93,2017-11-03 10:07:09,2026-07-01 12:00:41,80996402.44,79987183.63
21403003,IIBB A PAGAR PCIA. BS AS,25,2,25,2017-11-08 10:53:11,2024-04-11 18:22:28,169565.04,169565.04
21404001,IMPUESTOS DE SELLOS A PAGAR,68,44,68,2019-09-30 11:39:04,2026-07-01 12:00:41,31718191.18,31644959.38
21404002,BIENES PERSONALES ACCIONES Y PARTICIPACIONES A PAGAR,8,0,8,2018-08-22 13:56:41,2021-04-23 13:37:13,0.0,0.0
21404003,IMPUESTO ESPECIAL REVALUO IMPOSITIVO,13,0,13,2019-04-24 12:48:58,2021-06-03 20:22:27,0.0,0.0
21404004,MIS FACILIDADES K346692-2018,9,1,9,2018-08-02 17:08:52,2026-07-01 12:00:41,0.0,2093686.64
21404004,TISSH A PAGAR,3,3,3,2026-01-21 14:52:03,2026-07-01 11:57:14,2093686.64,2093686.64
21404005,MIS FACILIDADES K404827-2018,8,0,6,2018-08-01 13:33:44,2018-08-01 14:05:26,0.0,0.0
21404006,MIS FACILIDADES K935263-2018,12,0,12,2018-08-22 11:25:09,2020-05-27 18:39:47,0.0,0.0
21404007,MIS FACILIDADES K739774-2018,4,0,4,2018-08-22 14:11:12,2018-09-26 11:18:33,0.0,0.0
21404008,MIS FACILIDADES K684521-2018,6,0,6,2018-08-22 14:16:26,2018-10-22 10:29:06,0.0,0.0
21404009,MIS FACILIDADES  I679877,14,0,14,2017-11-08 10:53:11,2018-10-26 12:17:22,0.0,0.0
21404009,MIS FACILIDADES  I679877-2016,74,0,74,2018-05-20 19:22:15,2022-04-04 17:24:36,0.0,0.0
21404009,MIS FACILIDADES T919544-2024,6,6,6,2024-11-26 15:15:28,2025-05-26 10:26:05,16628785.45,16628785.45
21404010,MIS FACILIDADES  I693743,14,0,14,2017-11-08 10:53:11,2018-10-26 12:17:22,0.0,0.0
21404010,MIS FACILIDADES  I693743-2016,78,0,76,2018-05-20 19:20:56,2022-04-04 17:24:36,0.0,0.0
21404011,MIS FACILIDADES L408883 2019,9,0,9,2019-04-03 10:35:11,2020-05-27 18:39:47,0.0,0.0
21404012,MIS FACILIDADES L912831-2019,4,0,4,2019-08-23 16:01:07,2019-09-25 12:43:56,0.0,0.0
21404013,MIS FACILIDADES L987094-2019,13,0,13,2019-09-16 14:54:37,2021-06-03 15:27:12,0.0,0.0
21404014,MIS FACILIDADES L912831-2019,6,0,6,2019-09-25 12:47:22,2019-12-16 12:00:56,0.0,0.0
21404015,MIS FACILIDADES M106575-2019,11,0,11,2019-09-25 13:06:03,2021-06-03 15:27:12,0.0,0.0
21404016,MIS FACILIDADES M517369-2020,7,0,7,2020-03-11 12:45:08,2020-07-16 12:22:42,0.0,0.0
21404017,MIS FACILIDADES M598972-2020,15,0,13,2020-03-11 12:54:50,2020-10-16 10:00:24,0.0,0.0
21404018,MIS FACILIDADES N562375 2020,2,0,2,2022-01-13 11:50:20,2022-04-04 17:24:36,0.0,0.0
21404018,MIS FACILIDADES N562375-2020,11,0,11,2021-03-16 14:34:50,2021-09-29 12:04:51,0.0,0.0
21404019,MIS FACILIDADES O547856-2020,41,0,41,2021-01-27 14:40:17,2022-01-13 11:50:20,0.0,0.0
21404020,MIS FACILIDADES N562375-2020,12,0,12,2021-03-16 14:47:57,2022-04-04 17:24:36,0.0,0.0
21404021,MIS FACILIDADES N671396-2020,29,0,29,2021-04-20 15:06:02,2022-01-13 11:50:20,0.0,0.0
21404022,MIS FACILIDADES O605710-2021,21,0,19,2021-03-16 12:35:14,2021-09-16 17:20:22,0.0,0.0
21404023,MIS FACILIDADES O662383-2021,13,0,13,2021-03-03 10:27:32,2021-09-20 14:25:40,0.0,0.0
21404024,MIS FACILIDADES O717882-2021,13,0,11,2021-03-26 17:57:17,2021-09-16 17:26:35,0.0,0.0
21404025,MIS FACILIDADES N654638-2020,33,0,33,2021-04-23 13:12:28,2022-11-16 16:40:34,0.0,0.0
21404026,MIS FACILIDADES M771718-2020 ,75,8,75,2021-04-28 17:46:43,2024-09-17 14:09:56,102237.49,277502.41
21404027,MIS FACILIDADES Q312948-2022,23,0,19,2022-06-08 15:38:07,2022-09-12 13:55:38,0.0,0.0
21404028,MIS FACILIDADES Q477788-2022,15,0,15,2022-06-28 16:35:32,2022-12-16 10:05:50,0.0,0.0
21404029,MIS FACILIDADES S362277-2023,45,42,45,2023-11-22 17:52:13,2026-07-01 12:00:41,42023435.4,24963015.7
21404030,MIS FACILIDADES U124307-2025,7,7,7,2025-01-27 17:35:32,2025-08-05 08:45:22,40000000.0,40000000.0
21404031,MIS FACILIDADES V366637-2025,16,16,16,2025-12-03 17:06:25,2026-07-01 12:00:41,351894388.81,383322540.69
21404032,MIS FACILIDADES V620313-2026,9,9,9,2026-02-19 14:37:26,2026-06-30 14:12:33,113383611.37,134291906.56
21404033,MIS FACILIDADES V740161-2026,6,6,6,2026-02-25 17:31:58,2026-06-19 16:02:35,47234229.06,94607800.17
21404034,DGR 1523004427-2026,7,7,7,2026-02-27 17:43:00,2026-06-10 10:49:47,91472330.32,39202427.28
21501,ANTICIPO DE CLIENTES,18,6,18,2017-11-08 10:53:11,2025-08-02 15:57:28,1968000.0,1968000.0
21503,DIVIDENDOS A PAGAR,156,89,156,2017-11-08 10:53:11,2025-08-02 16:27:24,1222404670.0,1244724670.0
21505,PRESTAMO DIEGO AGUIRRE,6,0,6,2017-11-08 10:53:11,2020-08-25 11:50:21,0.0,0.0
311,CAPITAL SOCIAL,19,7,19,2017-11-08 10:53:11,2026-07-01 12:00:41,180000.0,240000.0
312,A CUENTA FUTURAS SUSCRIPCIONES,4,0,4,2017-11-08 10:53:11,2019-07-12 09:26:10,0.0,0.0
313,AJUSTE DE CAPITAL,28,12,28,2019-07-12 09:26:10,2026-07-01 12:00:41,83808831.15,119907299.09
321,RESERVA LEGAL,2,0,2,2023-06-26 16:06:46,2023-06-26 18:51:32,0.0,0.0
322,RESERVA VOLUNTARIA,35,12,33,2017-11-08 10:53:11,2026-07-01 12:00:41,5658088211.59,8128142473.3
323,REVALÚO CONTABLE,26,12,26,2019-06-21 11:56:32,2026-07-01 12:00:41,1373060035.44,1964535561.17
331,RESULTADO DEL EJERCICIO,23,6,23,2017-11-08 10:53:11,2026-07-01 11:57:14,1636633184.37,1636633184.37
332,RESULTADO DE EJERCICIOS ANTERIORES,40,18,36,2018-11-07 12:37:42,2026-07-01 12:00:41,5015573510.16,4085047180.48
333,RECPAM,3,0,3,2019-07-12 09:55:40,2019-08-13 12:17:45,0.0,0.0
41101001,ASESORAMIENTO Y GESTION,13476,3846,13439,2017-09-20 11:21:43,2026-07-06 09:42:55,1074057534.37,1226590135.99
41101002,CAPACITACION,1648,430,1630,2017-09-20 11:21:43,2026-07-02 09:50:50,504602308.56,598631272.76
41101003,TRANSPORTE,6643,1783,6632,2017-09-20 11:21:43,2026-07-06 09:42:55,1024029432.61,1230627646.29
41101004,ETIQUETAS ROTULOS Y PANELES,1591,524,1590,2017-09-20 11:21:43,2026-07-02 10:02:55,120952944.02,128809793.39
41101005,OTROS MATERIALES DE EMBALAJE,887,236,887,2017-09-20 11:21:43,2026-07-01 11:57:08,69684652.38,70099126.54
41101006,CAJAS HOMOLOGADAS,789,254,787,2017-09-20 11:21:43,2026-07-01 11:57:08,242944023.51,296156382.74
41101007,FLETE AEREO,4623,1032,4592,2017-09-20 11:21:43,2026-07-06 09:42:55,1176787401.22,1369001296.87
41101008,FLETE MARITIMO EXENTO,2,0,2,2017-10-13 14:12:02,2018-10-26 12:17:16,0.0,0.0
41101010,SERVICIOS GENERALES,2,0,2,2018-04-17 17:12:05,2018-10-26 12:17:16,0.0,0.0
41101011,VENTA DE VEHICULO DE EXPORTACION,31,11,31,2017-10-13 13:18:43,2026-07-01 11:57:08,82066005.86,73467605.86
41101012,ACONDICIONAMIENTO Y EMBALAJE,7161,1739,7155,2017-09-20 11:21:43,2026-07-06 09:42:55,276780110.56,314836025.8
41101013,KIT,78,15,78,2017-09-20 11:42:39,2026-07-01 11:57:08,599749.63,559746.87
41101014,BOTELLAS Y BIDONES,1549,388,1547,2017-09-20 11:21:43,2026-07-06 09:23:15,98833589.67,131740453.73
41101015,SERVICIO ABONO MENSUALRESIDUOS PATOGENICOS,6,0,6,2018-03-07 13:24:03,2021-04-30 12:40:57,0.0,0.0
